review_id,posting_date,text,cleanliness,communication,check_in,accuracy,location,value,author_id,listing_id
1,Sat Feb 29 2020 09:57:05 GMT-0800 (Pacific Standard Time),Aliquid iusto ut enim et vero aperiam sunt sed. Voluptas eius impedit quam voluptates laboriosam aut molestiae.,1,2,4,4,1,5,1,1
2,Sat Sep 26 2020 20:07:00 GMT-0700 (Pacific Daylight Time),Quisquam nam ad architecto. Aut magni qui modi quibusdam aut accusantium molestias. Cupiditate quos eius in assumenda delectus sunt. Aspernatur ducimus quia ut aliquid natus aut.,1,1,3,2,4,3,2,2
3,Sun Sep 27 2020 05:39:09 GMT-0700 (Pacific Daylight Time),Explicabo molestiae modi facilis ab voluptas. Ipsam officiis et. Reiciendis iure aspernatur veritatis.,1,5,4,5,5,3,3,3
4,Tue Mar 10 2020 17:36:34 GMT-0700 (Pacific Daylight Time),Vel autem aut vel reprehenderit beatae totam. Pariatur cum quidem aliquid autem maiores quia voluptatem.,4,2,3,3,2,1,4,4
5,Sun Dec 08 2019 12:25:06 GMT-0800 (Pacific Standard Time),Consequatur qui quia aut maiores repudiandae. Nihil in eligendi magni aperiam quam voluptatibus voluptatem rerum itaque. Consectetur quam itaque perferendis nisi magni soluta aut perferendis expedita.,5,4,5,5,4,1,5,5
6,Sun Aug 09 2020 14:16:07 GMT-0700 (Pacific Daylight Time),Vel animi tempora culpa modi in aut necessitatibus eius. Enim rerum sed consequatur.,1,2,2,5,4,2,6,6
7,Sun Aug 16 2020 14:55:28 GMT-0700 (Pacific Daylight Time),Voluptatum est quia sed aut reprehenderit quia perferendis. Omnis omnis possimus ut sit impedit. Neque sequi et. Autem placeat in non est sit ut magnam. Blanditiis est facilis.,3,5,4,2,1,5,7,7
8,Wed Oct 14 2020 12:25:20 GMT-0700 (Pacific Daylight Time),Perferendis dolore sit modi accusantium placeat eos modi et. Sed doloremque iusto et laudantium. Laboriosam ea non in voluptatem illum fuga ut illum officiis. Itaque et et facere nostrum similique ipsum quod.,2,4,5,5,3,3,8,8
9,Mon Oct 12 2020 04:31:48 GMT-0700 (Pacific Daylight Time),Aliquam sit illo sunt. Accusamus sequi in et velit nobis. Dolores nulla odit quaerat magni inventore in recusandae repudiandae perferendis. Quas omnis qui temporibus. Sint ratione consequatur et sit esse cupiditate commodi dolores consequatur.,4,5,2,3,3,3,9,9
10,Wed Feb 12 2020 17:27:24 GMT-0800 (Pacific Standard Time),Necessitatibus laborum cupiditate doloremque voluptates ex consequatur molestias. Consequatur quisquam dolorum ex iusto eaque. Dolorem est quam voluptas sint quos nostrum. Id deleniti asperiores ut quibusdam quae ratione iure velit qui. Fuga voluptas error occaecati ea minus odit. Aut maxime laudantium rem magnam est.,3,3,5,4,3,3,10,10
