review_id,posting_date,text,cleanliness,communication,check_in,accuracy,location,value
1,Mon Sep 14 2020 11:37:34 GMT-0700 (Pacific Daylight Time),Blanditiis assumenda repudiandae doloremque velit est itaque ut. Asperiores quae voluptas voluptatem libero voluptas ab nam minus fuga. Ipsum molestias voluptas soluta et et eaque odio. Labore voluptatem velit. Minus velit est et omnis sint ab recusandae ab quas.,2,4,2,2,5,1
2,Sat Aug 01 2020 08:12:15 GMT-0700 (Pacific Daylight Time),Numquam tempora quibusdam corporis ut cumque voluptatem et. Veritatis voluptatem culpa. Quam aspernatur incidunt expedita atque ut et iure magnam.,1,3,5,4,1,1
3,Mon Mar 16 2020 07:03:21 GMT-0700 (Pacific Daylight Time),Maxime et vel quia. Et perferendis eos ex delectus iste et optio qui.,3,5,5,1,5,4
4,Sat Jun 20 2020 10:00:47 GMT-0700 (Pacific Daylight Time),Quo beatae labore ea dolores qui. Facilis labore veritatis est. Dolor illo blanditiis magni. Facilis vitae voluptatem.,2,2,4,3,3,5
5,Tue Oct 13 2020 11:05:02 GMT-0700 (Pacific Daylight Time),A ipsam omnis nihil consequatur. Magni perspiciatis blanditiis earum perspiciatis ut et. Sint nihil eos quo adipisci enim minima nisi et ab. Saepe aut occaecati consequatur minima dolores officia illo.,3,5,5,3,5,2
6,Thu Dec 12 2019 07:59:20 GMT-0800 (Pacific Standard Time),Ea ad mollitia voluptatibus inventore cum non nihil nobis sunt. Libero nesciunt ut odio ipsa dolor et. Recusandae quo tenetur eum ad odio provident sed iste dolore. Assumenda eveniet sunt. Ut ea in omnis iusto corporis.,4,5,1,1,4,5
7,Tue Feb 04 2020 20:48:02 GMT-0800 (Pacific Standard Time),Ad saepe vel voluptatem illum error molestiae non. Praesentium ut ipsum fugiat consequatur.,4,1,5,2,4,5
8,Tue Jan 28 2020 21:42:33 GMT-0800 (Pacific Standard Time),Eos molestiae fugit ratione et. Nihil nisi et doloremque in aliquam neque commodi. Tempore et quo tempore ut et expedita. Velit non laboriosam labore quas perferendis id et similique. Eos provident rerum molestiae delectus enim labore cum. Quam reprehenderit soluta quaerat.,4,2,5,5,3,5
9,Sun Nov 29 2020 15:45:12 GMT-0800 (Pacific Standard Time),Voluptatum est earum et. Aliquid consequuntur fugit quia deleniti voluptatum ut consectetur. Illum qui sint omnis similique totam optio a deleniti.,1,1,4,4,2,2
10,Wed Aug 05 2020 10:14:28 GMT-0700 (Pacific Daylight Time),In et voluptatem cum ad enim. Autem quis cupiditate in cupiditate aperiam beatae soluta inventore. Corrupti tempora quidem repudiandae labore dolorum autem.,5,3,4,4,1,1
